City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,La Ronge,CA,55.1001,-105.2842,14.25,85,100,5.75,overcast clouds
79,Ashland,US,40.8167,-82.2665,29.82,78,100,7.87,overcast clouds
80,La Libertad,EC,-2.2333,-80.9,74.86,81,62,6.64,broken clouds
81,Kanniyakumari,IN,8.0833,77.5667,75.85,76,77,12.06,broken clouds
82,Cidreira,BR,-30.1811,-50.2056,69.87,71,10,11.12,clear sky
83,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,9.22,clear sky
84,Sabang,ID,5.8933,95.3214,77.97,81,100,6.71,overcast clouds
85,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,8,3.44,clear sky
86,Khani,GE,41.9563,42.9566,24.37,93,94,2.59,light snow
87,Faya,SA,18.3851,42.4509,48.31,80,15,2.71,few clouds
88,Severo-Yeniseyskiy,RU,60.3725,93.0408,0.99,99,99,2.28,overcast clouds
89,Albany,US,42.6001,-73.9662,20.44,75,10,2.55,clear sky
90,Mackay,AU,-21.15,149.2,81.68,66,14,19.33,few clouds
91,Ercis,TR,39.0287,43.3586,22.6,87,26,5.26,scattered clouds
92,Constitucion,CL,-35.3333,-72.4167,58.86,81,0,8.03,clear sky
93,Kenai,US,60.5544,-151.2583,28.15,92,0,3.44,clear sky
94,Kloulklubed,PW,7.0419,134.2556,84.7,79,39,22.73,scattered clouds
95,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,99,13.4,overcast clouds
96,Shinjo,JP,38.7586,140.3008,32.88,92,100,15.14,light snow
97,Tamale,GH,9.4008,-0.8393,78.37,16,3,6.17,clear sky
98,Fortuna,US,40.5982,-124.1573,58.19,90,40,0.0,scattered clouds
99,Carnarvon,AU,-24.8667,113.6333,73.51,55,8,21.65,clear sky
100,Taseyevo,RU,57.2169,94.8978,6.48,96,100,1.99,overcast clouds
101,Ciudad Bolivar,VE,8.1222,-63.5497,82.29,64,46,15.99,scattered clouds
102,Ca Mau,VN,9.1769,105.15,81.25,64,62,8.77,broken clouds
103,Jamestown,US,42.097,-79.2353,31.59,53,0,4.0,clear sky
104,Kapaa,US,22.0752,-159.319,79.12,70,20,3.0,few clouds
105,Matehuala,MX,23.65,-100.65,62.62,50,66,5.03,broken clouds
106,Tuy Hoa,VN,13.0833,109.3,73.4,90,93,5.21,overcast clouds
107,Katherine,AU,-14.4667,132.2667,84.52,74,40,5.75,scattered clouds
108,Kodiak,US,57.79,-152.4072,36.91,44,100,6.91,overcast clouds
109,Balkhash,KZ,46.844,74.9804,16.41,86,100,6.71,snow
110,Ilulissat,GL,69.2167,-51.1,3.22,60,100,9.22,overcast clouds
111,Chokurdakh,RU,70.6333,147.9167,-41.08,100,70,2.53,broken clouds
112,Bere,TD,9.3202,16.1552,72.0,21,13,4.41,few clouds
113,Lodja,CD,-3.4833,23.4333,69.87,96,100,1.88,overcast clouds
114,Puerto Carreno,CO,6.189,-67.4859,86.68,47,99,3.53,overcast clouds
115,Viedma,AR,-40.8135,-62.9967,62.8,68,0,11.63,clear sky
116,Ossora,RU,59.2353,163.0719,11.44,80,100,11.36,overcast clouds
117,Pisco,PE,-13.7,-76.2167,68.02,88,0,5.75,clear sky
118,Thompson,CA,55.7435,-97.8558,-7.44,71,100,4.61,overcast clouds
119,Dallas,US,32.7668,-96.7836,50.54,52,20,0.0,few clouds
120,Dikson,RU,73.5069,80.5464,-15.29,98,100,14.74,overcast clouds
121,Phan Thiet,VN,10.9333,108.1,80.01,64,68,6.6,broken clouds
122,Te Anau,NZ,-45.4167,167.7167,65.93,46,34,2.59,scattered clouds
123,Avarua,CK,-21.2078,-159.775,82.45,74,75,16.11,broken clouds
124,Port Elizabeth,ZA,-33.918,25.5701,69.1,77,0,4.61,clear sky
125,Kaele,CM,10.1092,14.4508,71.98,20,0,12.28,clear sky
126,Wattegama,LK,6.7989,81.4808,69.96,83,90,4.43,light rain
127,Lavrentiya,RU,65.5833,-171.0,-12.78,94,9,3.2,clear sky
128,Locri,IT,38.2414,16.2623,56.55,88,8,7.58,clear sky
129,Khatanga,RU,71.9667,102.5,-15.39,98,99,9.24,overcast clouds
130,Biograd Na Moru,HR,43.9433,15.4519,53.76,86,100,14.27,overcast clouds
131,Mankera,PK,31.3866,71.4407,53.04,57,3,8.12,clear sky
132,Okato,NZ,-39.2,173.8833,64.69,90,100,8.59,overcast clouds
133,Suntar,RU,62.1444,117.6319,-0.29,98,100,3.53,overcast clouds
134,Warrnambool,AU,-38.3833,142.4833,78.82,48,0,5.79,clear sky
135,Bathsheba,BB,13.2167,-59.5167,79.41,78,75,14.97,broken clouds
136,Dingle,PH,10.9995,122.6711,80.91,72,91,13.94,overcast clouds
137,Erzin,TR,36.9559,36.2,38.12,75,0,3.47,clear sky
138,Berlevag,NO,70.8578,29.0864,19.31,86,44,20.69,scattered clouds
139,Hobart,AU,-42.8794,147.3294,77.02,47,20,1.01,few clouds
140,Urengoy,RU,65.9667,78.3667,-26.73,100,94,3.44,overcast clouds
141,Yongan,CN,39.6957,113.6871,20.19,30,100,0.76,overcast clouds
142,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,85,43,11.88,scattered clouds
143,Kaitangata,NZ,-46.2817,169.8464,58.93,77,62,6.69,broken clouds
144,Turukhansk,RU,65.8167,87.9833,-24.38,100,29,3.33,scattered clouds
145,Cape Town,ZA,-33.9258,18.4232,64.11,85,20,1.01,few clouds
146,Rochegda,RU,62.8,43.25,7.81,95,100,6.71,overcast clouds
147,Kaeo,NZ,-35.1,173.7833,77.32,98,100,5.91,overcast clouds
148,Lagoa,PT,39.05,-27.9833,59.67,86,8,15.26,clear sky
149,Manado,ID,1.487,124.8455,86.77,74,40,4.61,scattered clouds
150,Victoria,HK,22.2855,114.1577,63.97,92,99,11.99,overcast clouds
151,Vestmannaeyjar,IS,63.4427,-20.2734,37.9,75,100,42.64,heavy intensity rain
152,Half Moon Bay,US,37.4636,-122.4286,67.24,53,0,5.75,clear sky
153,Isangel,VU,-19.55,169.2667,82.51,94,100,1.14,moderate rain
154,Raga,SS,8.4596,25.678,62.71,22,24,5.44,few clouds
155,Carauari,BR,-4.8828,-66.8958,73.71,98,100,1.28,light rain
156,Laguna,US,38.421,-121.4238,64.69,51,0,1.01,clear sky
157,Chabahar,IR,25.2919,60.643,69.91,64,0,11.86,clear sky
158,Okha,RU,53.5739,142.9478,3.42,94,100,23.96,light snow
159,Ostrovnoy,RU,68.0531,39.5131,12.33,87,17,20.45,few clouds
160,Trento,IT,46.0679,11.1211,42.94,65,100,1.99,overcast clouds
161,Lebu,CL,-37.6167,-73.65,59.63,90,0,14.27,clear sky
162,Nago,JP,26.5881,127.9761,64.47,63,96,8.63,overcast clouds
163,Tura,IN,25.5198,90.2201,51.03,78,0,3.09,clear sky
164,Narsaq,GL,60.9167,-46.05,8.82,82,100,3.62,overcast clouds
165,Faanui,PF,-16.4833,-151.75,81.32,73,100,18.79,light rain
166,Sabaudia,IT,41.3003,13.0282,53.56,98,6,10.09,clear sky
167,Nikolskoye,RU,59.7035,30.7861,35.87,95,100,9.19,overcast clouds
168,Volsk,RU,52.0333,47.3833,0.57,97,93,4.03,overcast clouds
169,Hasaki,JP,35.7333,140.8333,43.29,39,6,10.02,clear sky
170,Mar Del Plata,AR,-38.0023,-57.5575,64.42,76,100,24.0,overcast clouds
171,Alofi,NU,-19.0595,-169.9187,82.29,83,100,8.05,overcast clouds
172,Saskylakh,RU,71.9167,114.0833,-24.18,100,97,3.4,overcast clouds
173,Bengkulu,ID,-3.8004,102.2655,76.39,88,99,8.9,overcast clouds
174,Upernavik,GL,72.7868,-56.1549,-16.53,100,100,9.57,overcast clouds
175,Leningradskiy,RU,69.3833,178.4167,-24.88,99,50,3.04,scattered clouds
176,Caravelas,BR,-17.7125,-39.2481,77.09,84,68,6.2,broken clouds
177,Kimbe,PG,-5.5502,150.1429,86.04,69,89,5.68,light rain
178,Winnemucca,US,40.973,-117.7357,48.25,27,0,5.75,clear sky
179,Dukat,RU,62.55,155.55,-5.42,73,2,1.05,clear sky
180,Dicabisagan,PH,17.0818,122.4157,74.28,89,100,11.1,overcast clouds
181,Denpasar,ID,-8.65,115.2167,83.86,83,20,11.5,few clouds
182,Saint George,US,37.1041,-113.5841,55.99,19,0,18.41,clear sky
